SSID,HPHM,HPZL,JGSJ,CDBH
HK-107,概兎,2,2019/1/1 15:00:31,1
HK-107,落P80897,2,2019/1/1 15:01:34,2
HK-93,落PC6798,2,2019/1/1 15:01:50,9
HK-93,落PJC095,2,2019/1/1 15:02:04,3
HK-107,落P80404,2,2019/1/1 15:01:56,2
HK-93,落PC8602,2,2019/1/1 15:02:12,2
HK-93,落P3N266,2,2019/1/1 15:02:11,8
HK-93,落BHL950,2,2019/1/1 15:02:02,11
HK-92,落PHD001,2,2019/1/1 15:02:16,6
HK-92,落P80810,2,2019/1/1 15:00:54,8
HK-93,落P10297,2,2019/1/1 15:00:43,2
HK-93,落PK3777,2,2019/1/1 15:00:52,6
HK-107,概兎,2,2019/1/1 15:01:09,4
HK-107,落PWF952,2,2019/1/1 15:02:06,1
HK-107,落P00287,2,2019/1/1 15:02:12,4
HK-93,落P80566,2,2019/1/1 15:02:23,1
HK-92,落PC263H,2,2019/1/1 15:02:34,3
HK-92,落PXT106,2,2019/1/1 15:02:32,2
HK-92,落PA5905,1,2019/1/1 15:02:28,10
HK-92,落P80996,2,2019/1/1 15:02:38,1
HK-92,落PE2550,2,2019/1/1 15:02:37,8
HK-92,落PW9032,2,2019/1/1 15:02:50,8
HK-93,落P1530少,2,2019/1/1 15:02:54,5
HK-93,落PZ088C,2,2019/1/1 15:02:53,12
HK-93,落PLQ009,2,2019/1/1 15:02:53,11
HK-92,落PK5160,2,2019/1/1 15:01:34,9
HK-93,釦A0E52C,2,2019/1/1 15:01:27,10
HK-93,落P96845,2,2019/1/1 15:01:46,9
HK-93,落P80209,2,2019/1/1 15:01:45,8
HK-93,落P3Q816,2,2019/1/1 15:01:38,6
HK-93,落P06945,2,2019/1/1 15:01:48,9
HK-92,落PWJ897,2,2019/1/1 15:01:59,6
HK-93,落PL1176,2,2019/1/1 15:02:05,2
HK-93,落BSZ808,2,2019/1/1 15:02:02,3
HK-93,落PJ2397,2,2019/1/1 15:02:02,2
HK-93,落PC3685,2,2019/1/1 15:01:56,3
HK-107,落PHH765,2,2019/1/1 15:02:24,3
HK-107,落PC3685,2,2019/1/1 15:02:39,2
HK-92,落PE0950,2,2019/1/1 15:00:59,7
HK-93,落P6E628,2,2019/1/1 15:01:04,6
HK-93,落PV1809,2,2019/1/1 15:01:02,5
HK-93,落PE0685,2,2019/1/1 15:00:58,12
HK-107,落PJW306,2,2019/1/1 15:00:56,1
HK-93,寃AZ789R,2,2019/1/1 15:01:17,11
HK-107,落PC9600,2,2019/1/1 15:01:21,1
HK-107,落PV0093,2,2019/1/1 15:01:21,3
HK-107,落P3E551,2,2019/1/1 15:01:18,3
